antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Severity_2', 'Low_Wind', 'High_Temp'})","frozenset({'Clear', 'Medium_Visibility'})",0.128,0.606,0.068,0.53125,0.8766501650165017,1.0,-0.009567999999999993,0.8405333333333334,-0.13894052044609653,0.10210210210210212,-0.18972081218274106,0.3217306105610561
"frozenset({'Clear', 'Medium_Visibility', 'High_Temp', 'Severity_3'})",frozenset({'Low_Wind'}),0.098,0.342,0.05,0.5102040816326531,1.4918248000954768,1.0,0.016484,1.3434166666666665,0.36549889135254987,0.1282051282051282,0.25562930339308976,0.3282014560210049
"frozenset({'Clear', 'Low_Wind', 'High_Temp', 'Severity_3'})",frozenset({'Medium_Visibility'}),0.05,1.0,0.05,1.0,1.0,1.0,0.0,inf,0.0,0.05,0.0,0.525
"frozenset({'Medium_Visibility', 'Low_Wind', 'High_Temp', 'Severity_3'})",frozenset({'Clear'}),0.078,0.606,0.05,0.6410256410256411,1.057798087501058,1.0,0.0027320000000000053,1.0975714285714289,0.05926247288503265,0.07886435331230286,0.08889756605492664,0.3617669459253618
"frozenset({'Clear', 'High_Temp', 'Severity_3'})","frozenset({'Medium_Visibility', 'Low_Wind'})",0.098,0.342,0.05,0.5102040816326531,1.4918248000954768,1.0,0.016484,1.3434166666666665,0.36549889135254987,0.1282051282051282,0.25562930339308976,0.3282014560210049
"frozenset({'Low_Wind', 'High_Temp', 'Severity_3'})","frozenset({'Clear', 'Medium_Visibility'})",0.078,0.606,0.05,0.6410256410256411,1.057798087501058,1.0,0.0027320000000000053,1.0975714285714289,0.05926247288503265,0.07886435331230286,0.08889756605492664,0.3617669459253618
"frozenset({'Clear', 'Medium_Visibility', 'High_Temp', 'Medium_Wind'})",frozenset({'Severity_2'}),0.156,0.616,0.112,0.717948717948718,1.1655011655011656,1.0,0.015904,1.3614545454545455,0.16824644549763035,0.16969696969696968,0.265491452991453,0.44988344988344986
"frozenset({'Clear', 'Severity_2', 'High_Temp', 'Medium_Wind'})",frozenset({'Medium_Visibility'}),0.112,1.0,0.112,1.0,1.0,1.0,0.0,inf,0.0,0.112,0.0,0.556
"frozenset({'Clear', 'Severity_2', 'Medium_Visibility', 'Medium_Wind'})",frozenset({'High_Temp'}),0.174,0.64,0.112,0.6436781609195403,1.0057471264367817,1.0,0.0006400000000000017,1.0103225806451614,0.0069180214458665,0.15954415954415954,0.010217113665389774,0.4093390804597702
"frozenset({'Medium_Visibility', 'Severity_2', 'High_Temp', 'Medium_Wind'})",frozenset({'Clear'}),0.218,0.606,0.112,0.5137614678899083,0.8477912011384625,1.0,-0.020108,0.810301886792453,-0.1867176763362181,0.15730337078651688,-0.23410794951799924,0.34928997486904656
