lat,lon,weather_main,weather_desc,temp_f,humidity,visibility,wind_speed,rain_1h
33.133568,-117.12458,Clear,clear sky,60.71,59,10000,0,0
37.842594,-122.2976,Clouds,scattered clouds,60.3,73,10000,8.05,0
37.668953,-122.10939,Clouds,scattered clouds,60.17,71,10000,8.05,0
34.169533,-118.59745,Clear,clear sky,66.69,25,10000,18.41,0
37.983276,-121.300659,Clear,clear sky,58.03,80,10000,9.22,0
37.74382,-122.199333,Clouds,scattered clouds,60.01,73,10000,8.05,0
38.012264,-121.754219,Clouds,few clouds,58.89,73,10000,1.99,0
36.974072,-121.883072,Clouds,overcast clouds,61.84,72,10000,1.99,0
37.881908,-122.308258,Clouds,scattered clouds,60.31,73,10000,8.05,0
34.140312,-118.0168,Clouds,overcast clouds,66.56,32,10000,3.24,0
37.354584,-121.77729,Clouds,scattered clouds,58.01,69,10000,9.22,0
37.884933,-121.832504,Clear,clear sky,56.91,71,10000,5.01,0
37.619972,-122.075974,Clouds,scattered clouds,60.39,71,10000,8.05,0
38.110798,-121.394455,Clear,clear sky,58.03,75,10000,1.99,0
37.867458,-122.198204,Clouds,scattered clouds,57.11,72,10000,8.05,0
38.546753,-121.437897,Clear,clear sky,58.1,78,10000,12.66,0
37.740501,-121.586143,Clouds,few clouds,57.38,79,10000,6.73,0
37.57436,-121.885239,Clear,clear sky,59.54,70,10000,4.61,0
37.688675,-122.128761,Clouds,scattered clouds,60.17,72,10000,8.05,0
38.429642,-122.745682,Clear,clear sky,60.06,73,10000,4.61,0
37.694778,-122.113632,Clouds,scattered clouds,60.13,72,10000,8.05,0
38.828175,-123.014366,Clouds,few clouds,59.14,81,10000,2.53,0
38.27066,-122.667992,Clear,clear sky,59.99,69,10000,9.22,0
38.487877,-121.412979,Clear,clear sky,58.08,78,10000,12.66,0
38.638069,-121.203156,Clear,clear sky,58.26,78,10000,9.22,0
38.508896,-122.925262,Clear,clear sky,59.41,73,10000,4.61,0
37.854172,-122.220558,Clouds,scattered clouds,57.33,72,10000,8.05,0
37.796608,-122.270355,Clouds,scattered clouds,60.48,73,10000,8.05,0
37.145802,-121.985321,Clouds,overcast clouds,53.98,72,10000,4,0
34.028423,-118.229935,Smoke,smoke,64.33,47,10000,6.91,0
38.524895,-121.467789,Clear,clear sky,58.01,78,10000,12.66,0
33.778435,-117.872459,Clouds,overcast clouds,66.04,43,10000,3.44,0
37.45882,-122.137894,Clear,clear sky,59.74,74,10000,8.05,0
37.56221,-121.905434,Clear,clear sky,58.17,71,10000,4.61,0
34.136944,-118.094521,Clouds,overcast clouds,65.86,34,10000,2.48,0
36.982502,-121.964455,Clouds,overcast clouds,61.83,73,10000,5.99,0
38.420788,-122.552643,Clear,clear sky,59.52,71,10000,9.22,0
37.71965,-121.658867,Clear,clear sky,54.86,78,10000,4.61,0
37.957039,-121.328644,Clear,clear sky,58.08,81,10000,9.22,0
34.072468,-117.931755,Clear,clear sky,67.35,33,10000,3.44,0
38.583015,-121.50322,Clear,clear sky,58.59,76,10000,12.66,0
37.731606,-122.188606,Clouds,scattered clouds,60.04,72,10000,8.05,0
37.956322,-121.324234,Clear,clear sky,58.08,81,10000,9.22,0
33.925053,-118.024498,Clear,clear sky,65.97,42,10000,4.61,0
38.476143,-121.424957,Clear,clear sky,58.05,78,10000,12.66,0
38.766384,-121.254646,Clear,clear sky,57.54,78,10000,11.5,0
37.808498,-122.366852,Clouds,scattered clouds,60.24,74,10000,8.05,0
38.332996,-122.018837,Clear,clear sky,59.13,73,10000,6.91,0
37.609432,-120.993591,Clear,clear sky,58.53,83,10000,16.11,0
37.282837,-121.828796,Clouds,scattered clouds,60.12,68,10000,9.22,0
38.56509,-121.498009,Clear,clear sky,58.06,77,10000,12.66,0
37.723717,-122.401115,Clouds,scattered clouds,59.36,75,10000,8.05,0
34.050564,-118.214096,Clear,clear sky,64.69,42,10000,4.61,0
33.853874,-117.886253,Clear,clear sky,66.07,41,10000,3.44,0
37.719742,-121.658539,Clear,clear sky,54.86,78,10000,4.61,0
37.962208,-122.059227,Clear,clear sky,59.31,72,10000,5.01,0
37.701363,-121.849533,Clear,clear sky,58.44,71,10000,4.61,0
33.781948,-117.878494,Clouds,overcast clouds,66.06,43,10000,3.44,0
38.602249,-121.506027,Clear,clear sky,58.08,77,10000,12.66,0
38.555466,-121.44091,Clear,clear sky,58.12,78,10000,12.66,0
37.409042,-122.07045,Clear,clear sky,60.12,73,10000,8.05,0
37.711716,-121.717743,Clear,clear sky,57.09,75,10000,4.61,0
37.708939,-121.723686,Clear,clear sky,57.09,75,10000,4.61,0
33.874031,-118.229431,Smoke,smoke,64.2,50,10000,8.05,0
38.409191,-121.38887,Clear,clear sky,57.97,79,10000,12.66,0
37.969532,-122.04673,Clear,clear sky,59.31,72,10000,5.01,0
