Start_Lat,Start_Lng,Start_Time,Severity,lat,lon,weather_main,weather_desc,temp_f,humidity,visibility,wind_speed,rain_1h
38.028133,-122.537819,2016-10-18 14:14:55,2,38.028133,-122.537819,Clear,clear sky,59.74,78,10000,3.0,0
37.961742,-122.509804,2016-05-03 11:40:37,3,37.961742,-122.509804,Clouds,few clouds,59.9,79,10000,3.0,0
38.519505,-121.521988,2016-11-25 00:10:01,3,38.519505,-121.521988,Clear,clear sky,58.17,77,10000,12.66,0
37.923294,-122.061287,2016-09-03 11:13:55,3,37.923294,-122.061287,Clear,clear sky,59.5,71,10000,0.0,0
37.25835,-121.858658,2016-08-31 11:42:04,2,37.25835,-121.858658,Clouds,scattered clouds,60.37,68,10000,9.22,0
37.700111,-121.778809,2016-04-28 21:40:55,3,37.700111,-121.778809,Clear,clear sky,57.74,73,10000,4.61,0
38.966942,-121.020134,2016-06-04 13:26:27,3,38.966942,-121.020134,Clear,clear sky,53.2,81,10000,4.61,0
32.760567,-117.19442,2016-06-30 21:34:39,3,32.760567,-117.19442,Clouds,broken clouds,63.16,54,10000,5.75,0
37.348045,-122.059784,2016-04-01 11:59:31,2,37.348045,-122.059784,Clear,clear sky,59.81,72,10000,8.05,0
38.467033,-123.050957,2016-11-15 01:56:36,2,38.467033,-123.050957,Clear,clear sky,56.84,80,10000,4.14,0
37.466541,-121.905518,2016-12-02 09:16:57,3,37.466541,-121.905518,Clouds,scattered clouds,60.46,70,10000,9.22,0
34.024857,-118.42836,2016-07-08 14:06:11,3,34.024857,-118.42836,Smoke,smoke,64.2,49,10000,6.91,0
37.701649,-121.911278,2016-12-06 19:14:03,3,37.701649,-121.911278,Clear,clear sky,59.0,71,10000,4.61,0
37.932465,-122.403297,2016-09-10 16:18:55,3,37.932465,-122.403297,Clouds,scattered clouds,60.4,74,10000,1.81,0
34.038456,-118.27401,2016-07-14 14:25:11,2,34.038456,-118.27401,Smoke,smoke,64.42,48,10000,6.91,0
38.640575,-121.477364,2016-07-23 20:22:26,3,38.640575,-121.477364,Clear,clear sky,58.32,76,10000,12.66,0
34.282394000000004,-118.777199,2016-06-23 11:38:05,2,34.282394000000004,-118.777199,Clouds,overcast clouds,66.61,26,10000,7.0,0
38.671062,-121.591156,2017-01-16 10:02:39,3,38.671062,-121.591156,Clouds,few clouds,57.96,77,10000,12.66,0
37.838303,-121.61218999999998,2017-01-11 18:20:04,2,37.838303,-121.61218999999998,Clear,clear sky,58.21,80,10000,4.61,0
32.812962,-116.961716,2016-06-27 15:17:01,2,32.812962,-116.961716,Clear,clear sky,63.54,48,10000,0.0,0
38.63718400000001,-121.38298,2016-10-13 00:01:00,2,38.63718400000001,-121.38298,Clear,clear sky,58.48,76,10000,12.66,0
37.720112,-121.65863799999998,2016-08-23 14:04:45,3,37.720112,-121.65863799999998,Clear,clear sky,54.86,78,10000,4.61,0
37.765285,-122.404907,2016-09-24 15:19:45,2,37.765285,-122.404907,Clouds,scattered clouds,59.77,75,10000,8.05,0
33.960148,-118.244179,2016-07-12 15:18:36,2,33.960148,-118.244179,Smoke,smoke,63.81,53,10000,6.91,0
38.252132,-122.489708,2016-07-16 15:48:12,2,38.252132,-122.489708,Clear,clear sky,60.31,71,10000,9.22,0
37.328884,-121.870255,2016-04-22 21:33:03,3,37.328884,-121.870255,Clouds,scattered clouds,60.6,68,10000,9.22,0
38.233418,-122.618179,2016-09-09 15:11:07,2,38.233418,-122.618179,Clear,clear sky,60.49,69,10000,9.22,0
38.536011,-121.953125,2017-01-02 17:15:00,3,38.536011,-121.953125,Clear,clear sky,59.27,71,10000,6.91,0
38.29512,-122.252808,2016-04-06 09:52:52,2,38.29512,-122.252808,Clear,clear sky,59.7,76,10000,6.91,0
34.018009,-118.052849,2016-07-06 17:26:18,3,34.018009,-118.052849,Clear,clear sky,66.49,36,10000,3.44,0
38.526783,-121.952782,2016-10-23 10:24:50,3,38.526783,-121.952782,Clear,clear sky,58.71,74,10000,6.91,0
34.124657,-118.079361,2016-07-05 10:16:06,2,34.124657,-118.079361,Clouds,overcast clouds,66.63,33,10000,1.7,0
36.493896,-121.427475,2016-09-08 16:07:46,2,36.493896,-121.427475,Clouds,overcast clouds,62.33,77,10000,7.2,0
38.769897,-121.24855,2017-01-07 02:43:13,3,38.769897,-121.24855,Clear,clear sky,57.54,78,10000,11.5,0
38.429111,-121.425125,2016-09-06 18:41:19,2,38.429111,-121.425125,Clear,clear sky,58.41,78,10000,12.66,0
38.63332,-121.328156,2016-05-27 15:21:10,2,38.63332,-121.328156,Clear,clear sky,58.33,76,10000,12.66,0
37.980579,-122.29693600000002,2016-07-12 14:42:01,2,37.980579,-122.29693600000002,Clouds,scattered clouds,60.08,71,10000,1.45,0
37.507153,-122.338486,2016-09-15 21:24:50,3,37.507153,-122.338486,Clear,clear sky,57.74,75,10000,9.22,0
37.651726,-122.390129,2016-04-07 11:24:24,2,37.651726,-122.390129,Clouds,scattered clouds,59.41,76,10000,9.22,0
38.757442,-120.593201,2016-11-16 17:02:55,2,38.757442,-120.593201,Clear,clear sky,48.33,76,10000,1.99,0
37.932495,-122.403526,2016-04-03 15:16:13,3,37.932495,-122.403526,Clouds,scattered clouds,60.4,74,10000,1.81,0
38.945255,-121.046089,2016-06-22 17:56:42,3,38.945255,-121.046089,Clear,clear sky,53.51,81,10000,4.61,0
36.666584,-121.62825,2016-07-13 11:55:13,2,36.666584,-121.62825,Clouds,overcast clouds,59.86,81,10000,5.5,0
37.979328,-122.043022,2016-11-30 12:18:11,2,37.979328,-122.043022,Clear,clear sky,59.67,71,10000,5.01,0
37.731361,-122.423836,2016-10-02 07:49:25,3,37.731361,-122.423836,Clouds,scattered clouds,59.02,75,10000,8.05,0
37.753368,-121.352516,2016-07-15 16:09:46,2,37.753368,-121.352516,Clear,clear sky,58.03,83,10000,9.22,0
37.709412,-122.470924,2016-05-09 22:11:53,3,37.709412,-122.470924,Clouds,scattered clouds,58.33,77,10000,7.0,0
37.670162,-122.392151,2016-09-08 20:30:57,2,37.670162,-122.392151,Clouds,scattered clouds,59.38,76,10000,9.22,0
37.022938,-122.037102,2016-08-02 14:16:16,2,37.022938,-122.037102,Clouds,overcast clouds,59.59,75,10000,5.99,0
38.606785,-121.431801,2016-04-06 19:36:24,3,38.606785,-121.431801,Clear,clear sky,58.37,76,10000,12.66,0
37.763535,-121.418747,2016-05-20 20:42:48,3,37.763535,-121.418747,Clear,clear sky,57.97,82,10000,4.61,0
33.982792,-118.395348,2016-07-03 03:51:12,3,33.982792,-118.395348,Smoke,smoke,63.36,58,10000,6.91,0
37.719204,-121.6604,2016-12-30 21:29:25,3,37.719204,-121.6604,Clear,clear sky,54.86,78,10000,4.61,0
37.259937,-121.968719,2016-12-01 11:53:09,2,37.259937,-121.968719,Clouds,scattered clouds,59.7,70,10000,9.22,0
37.96041500000001,-121.250298,2016-05-11 18:57:48,2,37.96041500000001,-121.250298,Clear,clear sky,58.17,82,10000,9.22,0
38.201214,-120.692749,2016-11-03 16:19:08,2,38.201214,-120.692749,Clear,clear sky,58.32,71,10000,17.27,0
38.222542,-121.428131,2016-05-12 16:01:01,2,38.222542,-121.428131,Clear,clear sky,58.17,80,10000,9.48,0
32.72541,-117.074028,2016-06-23 13:15:18,2,32.72541,-117.074028,Clouds,broken clouds,63.01,52,10000,5.75,0
38.560219,-121.466492,2016-07-06 17:40:38,3,38.560219,-121.466492,Clear,clear sky,58.26,77,10000,12.66,0
39.072006,-121.549225,2017-01-14 18:58:52,2,39.072006,-121.549225,Clear,clear sky,57.97,75,10000,11.5,0
